lsm6dso_accelerometer.x,lsm6dso_accelerometer.y,lsm6dso_accelerometer.z,ak09918_magnetometer.x,ak09918_magnetometer.y,ak09918_magnetometer.z,lsm6dso_gyroscope.x,lsm6dso_gyroscope.y,lsm6dso_gyroscope.z,tmd4912_light_cct.x,tmd4912_light_cct.y,tmd4912_light_cct.z
0.047856454,0.76570326,9.458828,-16.06875,-27.69375,-26.268751,0.42607817,-0.18829907,0.6873756,496,496,206
0.38285163,1.2849457,9.817751,-18.09375,-27.243752,-24.525002,0.07116575,0.01084285,0.081397735,496,496,206
0.32303107,0.81834537,10.179068,-18.337502,-27.056252,-24.431252,-0.021074835,0.7609848,-0.059712034,485,485,206
-0.06460621,0.36370903,9.073584,-15.843751,-26.306252,-24.243752,-0.03451386,0.26068655,0.06307179,485,485,206
0.004785645,0.701097,9.932607,-16.3875,-26.5125,-24.150002,0.29840744,0.4561633,-0.38347036,478,478,206
-1.0169497,1.2370893,8.616554,-14.400001,-26.775002,-22.837502,0.044898562,0.001069013,-0.49831295,478,478,206
-0.81595254,2.3665016,9.97807,-13.9125,-27.7875,-22.25625,0.18845178,-0.014813471,-0.085979216,477,477,206
0.21535404,2.2851455,9.9015,-14.025001,-28.237501,-20.775002,0.64721125,-0.2640463,0.2689332,477,477,206
0.2536392,2.2301106,10.246066,-15.88125,-29.531252,-18.806252,-0.00763581,-0.75762504,-0.35598144,477,477,206
-0.6029913,1.6941184,9.487542,-16.237501,-30.093752,-18.206251,-0.2751946,-0.07284562,-0.51541716,478,478,206
-0.91884387,2.1080768,8.130812,-14.83125,-29.6625,-18.1875,-0.062613636,0.12140937,-0.23869541,478,478,206
-2.009971,3.2709885,8.12124,-15.50625,-30.750002,-17.456251,0.17867795,0.75487614,1.5780164,478,478,206
-1.5098711,2.4047868,9.686146,-17.0625,-28.743752,-18.806252,-0.29779658,0.43905905,0.74357516,478,478,206
