lsm6dso_accelerometer.x,lsm6dso_accelerometer.y,lsm6dso_accelerometer.z,ak09918_magnetometer.x,ak09918_magnetometer.y,ak09918_magnetometer.z,orientation.x,orientation.y,orientation.z,lsm6dso_gyroscope.x,lsm6dso_gyroscope.y,lsm6dso_gyroscope.z,tmd4912_light_cct.x,tmd4912_light_cct.y,tmd4912_light_cct.z
-0.263,1.89,10.34,-38.46,-17.46,-22.98,107.984375,-9.390625,-1.203125,-0.357939,0.066117,-0.259116,57,0,0
0.215,2.747,6.934,-37.559998,-19.26,-23.16,105.640625,-20.21875,-0.421875,-0.40911,-0.080588,-0.496809,56,0,0
-0.562,2.348,10.438,-36.12,-22.02,-21.48,110.5,-12.921875,-3.046875,0.129407,-0.128881,-0.282305,56,0,0
0.459,4.057,7.824,-36,-21.359999,-22.26,108.734375,-26.8125,3.015625,-0.077036,-0.099188,-0.466646,56,0,0
-0.055,3.676,9.579,-35.88,-21.359999,-22.199999,107.53125,-21.21875,-0.453125,0.182203,-0.046744,-0.174876,56,0,0
-0.615,3.147,11.185,-35.1,-20.64,-23.16,110.734375,-15.640625,-3.078125,0.033845,-0.00362,-0.115321,56,0,0
1.718,3.032,9.411,-35.76,-19.439999,-23.46,103.34375,-20.90625,9.984375,0.006074,0.034559,0.017646,56,0,0
-0.457,2.429,6.951,-36.66,-20.22,-22.32,112.953125,-15.484375,-4.796875,-0.317326,-0.080123,-0.131737,56,0,0
-1.055,1.867,8.315,-36.6,-20.76,-21.9,109.03125,-12.953125,-6.5,-0.179623,0.259251,-0.083529,56,0,0
-0.392,2.484,9.756,-36.66,-21.359999,-21.48,112.578125,-14.28125,-2.40625,-0.135747,0.162716,-0.171503,56,0,0
0.821,3.521,8.717,-37.079998,-19.8,-21.72,107.40625,-22.453123,5.625,0.106456,-0.258663,-0.002173,56,0,0
0.483,3.166,11.027,-38.82,-17.699999,-20.82,106.328125,-16.484375,2.609375,0.249567,-0.309013,0.27954,56,0,0
-0.351,3.432,9.746,-38.46,-17.699999,-21.06,105.65625,-18.765623,-1.984375,-0.041746,-0.097807,0.247745,56,0,0
-0.21,1.254,10.582,-37.38,-18.84,-21.119999,109.828125,-7.015625,-1.015625,-0.030728,0.127038,0.128205,56,0,0
1.129,2.388,7.803,-37.26,-19.859999,-21.9,109.65625,-17.171877,7.40625,-0.270721,0.032058,-0.186196,56,0,0
-0.064,2.656,8.913,-36.96,-20.52,-21.359999,109.390625,-17.359377,1.0625,0.121088,-0.444132,-0.037192,56,0,0
0.394,3.535,9.579,-35.7,-19.5,-22.26,109.28125,-19.328123,1.984375,0.118357,0.006475,-0.037009,56,0,0
-0.509,3.398,9.387,-35.88,-19.92,-22.56,106.78125,-19.65625,-3.140625,0.172098,0.146361,0.032212,56,0,0
-0.672,3.257,10.584,-35.52,-20.16,-23.82,107.65625,-17.328123,-3.296875,0.23462,0.213594,0.129523,56,0,0
-0.067,4.148,9.263,-35.7,-19.859999,-23.82,106.375,-23.609377,-1.53125,0.044086,0.211001,0.010601,56,0,0
-0.73,0.55,10.73,-36.48,-19.26,-23.519999,113.40625,-2.75,-2.796875,-0.270257,-0.183634,-0.147274,56,0,0
0.5,3.841,6.714,-35.7,-20.52,-22.68,99.359375,-30.859377,2.796875,-0.267289,0.04158,-0.139929,56,0,0
-0.902,1.797,10.886,-35.46,-22.5,-20.4,114.359375,-9.046875,-4.984375,0.303766,0.181708,0.119055,56,0,0
-0.66,2.546,8.676,-35.28,-21.6,-21.96,114.640625,-15.28125,-4.90625,-0.365311,0.12071,-0.477537,56,0,0
0.299,3.482,8.837,-35.82,-21,-22.68,105.75,-23.0625,2.625,0.354222,-0.119907,0.100244,58,0,0
0.622,4.306,9.691,-36.899998,-20.1,-21.72,105.609375,-24.21875,3.5625,0.465259,-0.200652,0.382211,58,0,0
0.526,3.796,11.025,-36.3,-19.439999,-21.9,106.140625,-20.796877,1.953125,0.185823,-0.018353,0.248552,58,0,0
-0.131,0.844,10.682,-35.1,-20.46,-21.72,115.75,-4.03125,-0.703125,-0.520288,-0.048651,-0.23334,58,0,0
0.722,2.661,6.046,-34.079998,-23.699999,-21.3,113.484375,-23.421877,5.46875,-0.573468,-0.133352,-0.41583,56,0,0
-0.299,2.463,10.287,-33.18,-25.5,-20.699999,117.796875,-13.640625,-1.375,0.305611,-0.335567,-0.227071,56,0,0
-0.105,3.777,8.54,-32.1,-25.439999,-22.56,117.546875,-22.140623,-0.890625,0.031644,0.1153,-0.373853,56,0,0
-1.053,3.269,10.766,-31.619999,-26.16,-22.5,116.609375,-17.234377,-5.65625,0.226955,0.207703,-0.124187,56,0,0
-1.199,3.308,10.95,-31.08,-25.439999,-23.279999,119.484375,-16.09375,-5.765625,-0.027458,0.275023,-0.217138,56,0,0
0.993,3.281,11.242,-31.619999,-24.42,-22.859999,113.671875,-18.515623,4.875,-0.044871,0.215255,-0.173328,56,0,0
-0.651,2.065,6.721,-32.88,-24.3,-21.96,120.96875,-13.890625,-6.046875,-0.34678,-0.134075,-0.192579,58,0,0
-1.371,1.881,8.636,-33.36,-25.56,-21.42,113.90625,-14.5625,-6.984375,-0.041315,0.130826,0.041166,58,0,0
-0.955,2.664,9.292,-32.399998,-26.519999,-19.859999,120.359375,-15.546875,-5.5,0.044321,0.249589,-0.058154,58,0,0
0.153,3.252,8.159,-31.92,-25.619999,-21.6,118.96875,-20.90625,0,-0.08679,0.168841,-0.199991,58,0,0
-0.402,4.093,9.05,-33,-24.359999,-22.199999,113.81249,-24.09375,-2.765625,0.226205,-0.129553,0.091817,56,0,0
-1,3.296,11.932,-32.88,-23.4,-23.519999,113.46875,-15.65625,-4,0.333975,-0.100527,0.400628,56,0,0
-0.809,1.072,11.432,-32.76,-23.1,-23.58,117.21875,-6.5625,-2.796875,-0.085871,-0.069536,0.164492,56,0,0
-0.753,2.257,7.044,-31.8,-25.56,-22.56,120.546875,-15.984375,-6.5625,-0.706136,0.10509,-0.335249,57,0,0
-0.337,2.025,8.509,-30.06,-27.66,-21.779999,121.875,-13.546875,-1.171875,0.01219,-0.068193,-0.172761,57,0,0
-1.496,2.649,9.567,-28.8,-27.539999,-24.119999,124,-14.96875,-8.515625,0.024108,-0.080313,-0.36604,57,0,0
-1.414,3.614,9.136,-28.26,-27.84,-24.779999,118.296875,-21.78125,-8.171875,0.120134,0.159378,-0.200521,56,0,0
-1.725,2.652,11.001,-28.38,-27.42,-24.3,122.5,-13.4375,-8.671875,0.204355,0.211739,0.028681,56,0,0
-0.617,3.86,9.009,-29.699999,-25.74,-24.42,118.93751,-22.484377,-4.390625,-0.012105,0.077203,-0.069658,56,0,0
-1.141,0.584,9.821,-30.72,-25.5,-23.58,124.59375,-3.296875,-6.59375,-0.040087,-0.321853,0.081839,56,0,0
-0.631,2.113,7.439,-31.08,-25.92,-22.32,117.953125,-17.0625,-5.328125,-0.30332,-0.136547,-0.07902,56,0,0
-1.06,1.606,10.072,-31.56,-27.599998,-20.1,124.84375,-8.421875,-6.109375,-0.153855,0.070674,-0.053581,56,0,0
-0.165,2.75,9.543,-31.56,-27.06,-20.279999,124.484375,-14.859375,-2.328125,-0.24851,0.042236,-0.24359,56,0,0
-0.521,3.889,8.593,-32.46,-25.56,-21.119999,114.578125,-25.59375,-2.046875,0.488297,-0.222579,0.231539,56,0,0
-0.047,2.573,11.932,-33.48,-24.72,-20.76,119.171875,-11.984375,-0.0625,0.379533,-0.106174,0.398532,56,0,0
0.54,3.114,9.392,-33.42,-24.119999,-21.06,113.796875,-20.4375,3.4375,-0.008921,-0.04709,0.197054,56,0,0
0.607,2.173,10.01,-33.36,-24.24,-20.46,120.421875,-11.921875,3.1875,-0.065251,-0.086632,0.124128,56,0,0
0.361,2.235,6.584,-32.46,-25.019999,-21.119999,119.65625,-17.53125,1.234375,-0.332845,-0.10593,-0.115336,56,0,0
-0.71,1.979,10.761,-31.08,-26.039999,-22.08,122.703125,-10.296875,-3.671875,-0.043592,-0.110128,-0.122717,56,0,0
0.122,4.011,8.748,-31.019999,-25.439999,-22.68,116.90625,-24.953123,0.8125,-0.00812,0.066123,-0.125746,55,0,0
-0.612,3.255,10.656,-31.019999,-25.199999,-22.08,116.921875,-17.59375,-3.25,0.426438,0.13807,0.224064,55,0,0
-1.33,2.46,10.821,-30.359999,-25.26,-22.859999,122.21875,-11.328125,-6.890625,-0.156264,0.199034,-0.111346,55,0,0
0.126,2.044,10.369,-30.119999,-25.619999,-22.5,118.796875,-12.640625,0.984375,0.018521,0.058683,-0.030796,55,0,0
-0.806,2.364,5.44,-30.779999,-26.039999,-21.3,120.578125,-22.609377,-8.34375,-0.113582,-0.092888,-0.147613,56,0,0
-1.18,1.575,9.014,-31.019999,-26.76,-19.92,123.015625,-9.8125,-7.375,-0.113406,0.179573,-0.152587,56,0,0
0.028,3.262,9.895,-32.1,-25.439999,-20.46,121.203125,-18.4375,0.671875,-0.053286,0.144517,-0.113465,56,0,0
0.751,3.803,9.476,-33,-23.82,-21.48,115.921875,-21.9375,3.921875,0.222824,-0.214551,0.153906,56,0,0
0.789,3.506,10.268,-33.36,-23.4,-21.119999,114.640625,-18.9375,3.71875,0.29552,-0.186639,0.451898,56,0,0
0.653,3.375,9.56,-32.7,-24.3,-20.4,115.56249,-20.546877,1.40625,0.092391,-0.103603,0.251305,56,0,0
-0.579,1.12,10.417,-31.019999,-26.699999,-19.02,125.68751,-5.328125,-3.296875,-0.449253,-0.034708,-0.255966,56,0,0
